IP	amount	as	city	country	countryCode	isp	lat	lon	org	query	region	regionName	status	timezone	zip
115.177.11.215	294690	AS2510 FUJITSU LIMITED	Yokohama	Japan	JP	Fujitsu Limited (JP)	35.4478	139.6425	Fujitsu Limited	115.177.11.215	14	Kanagawa	success	Asia/Tokyo	231-0021
115.176.182.196	259241	AS2510 FUJITSU LIMITED	Yokohama	Japan	JP	Fujitsu Limited (JP)	35.4478	139.6425	Fujitsu Limited	115.176.182.196	14	Kanagawa	success	Asia/Tokyo	231-0021
192.3.106.42	66572	AS36352 ColoCrossing	Buffalo	United States	US	ColoCrossing (US)	42.8864	-78.8781	ColoCrossing	192.3.106.42	NY	New York	success	America/New_York	14202
191.96.249.189	51251	AS29073 Quasi Networks LTD.	Moscow	Russia	RU	DMZHOST LIMITED (RU)	55.7485	37.6184	DMZHOST LIMITED	191.96.249.189	MOW	Moscow	success	Europe/Moscow	101194
104.192.0.20	18707	AS27176 DataWagon LLC	Rye	United States	US	DataWagon LLC (US)	40.9777	-73.6935	DataWagon LLC	104.192.0.20	NY	New York	success	America/New_York	10580
198.204.234.26	6817	AS33387 DataShack, LC	Kansas City	United States	US	DataShack, LC (US)	39.1472	-94.5735	n/a	198.204.234.26	MO	Missouri	success	America/Chicago	64116
198.204.234.27	5284	AS33387 DataShack, LC	Kansas City	United States	US	DataShack, LC (US)	39.1472	-94.5735	n/a	198.204.234.27	MO	Missouri	success	America/Chicago	64116
198.204.234.28	5239	AS33387 DataShack, LC	Kansas City	United States	US	DataShack, LC (US)	39.1472	-94.5735	n/a	198.204.234.28	MO	Missouri	success	America/Chicago	64116
185.93.185.10	5157		Kharkiv	Ukraine	UA	Ukrmirkom Ltd (UA)	49.9808	36.2527	Ukrmirkom Ltd	185.93.185.10	63	Kharkivs'ka Oblast'	success	Europe/Kiev	
198.204.234.30	5049	AS33387 DataShack, LC	Kansas City	United States	US	DataShack, LC (US)	39.1472	-94.5735	n/a	198.204.234.30	MO	Missouri	success	America/Chicago	64116
198.204.234.29	4889	AS33387 DataShack, LC	Kansas City	United States	US	DataShack, LC (US)	39.1472	-94.5735	n/a	198.204.234.29	MO	Missouri	success	America/Chicago	64116
104.192.0.22	4353	AS27176 DataWagon LLC	Rye	United States	US	DataWagon LLC (US)	40.9777	-73.6935	DataWagon LLC	104.192.0.22	NY	New York	success	America/New_York	10580
115.29.251.112	3812	AS37963 Hangzhou Alibaba Advertising Co.,Ltd.	Hangzhou	China	CN	Aliyun Computing Co. (CN)	30.2936	120.1614	Hangzhou Alibaba Advertising Co.,Ltd.	115.29.251.112	33	Zhejiang	success	Asia/Shanghai	
104.192.0.18	3701	AS27176 DataWagon LLC	Rye	United States	US	DataWagon LLC (US)	40.9777	-73.6935	DataWagon LLC	104.192.0.18	NY	New York	success	America/New_York	10580
104.192.0.21	3288	AS27176 DataWagon LLC	Rye	United States	US	DataWagon LLC (US)	40.9777	-73.6935	DataWagon LLC	104.192.0.21	NY	New York	success	America/New_York	10580
89.248.168.21	2419	AS29073 Quasi Networks LTD.	Amsterdam	Netherlands	NL	Novogara LTD (NL)	52.3702	4.895169999999999	Novogara LTD	89.248.168.21	NH	North Holland	success	Europe/Amsterdam	
96.224.91.253	1412	AS701 MCI Communications Services, Inc. d/b/a Verizon Business	Whitestone	United States	US	Verizon Fios (US)	40.7873	-73.8113	Verizon Fios	96.224.91.253	NY	New York	success	America/New_York	11357
89.248.167.131	1393	AS29073 Quasi Networks LTD.	Amsterdam	Netherlands	NL	Novogara LTD (NL)	52.3702	4.895169999999999	Novogara LTD	89.248.167.131	NH	North Holland	success	Europe/Amsterdam	
2.24.123.213	1245	AS12576 EE Limited	Leicester	United Kingdom	GB	EE High Speed Internet (GB)	52.6333	-1.1333	EE High Speed Internet	2.24.123.213	ENG	England	success	Europe/London	LE1
95.9.62.127	1126	AS9121 Turk Telekom	Tokat Province	Turkey	TR	Turk Telekom (TR)	40.3908	36.6117	Turk Telekom	95.9.62.127	60	Tokat	success	Europe/Istanbul	60100
37.109.48.4	1107	AS8374 Polkomtel Sp. z o.o.	Warsaw (Targówek)	Poland	PL	Polkomtel Sp. z o.o. (PL)	52.2623	21.098000000000003	Cyfrowy Polsat S.A.	37.109.48.4		Mazovia	success	Europe/Warsaw	
153.101.64.162	1045	AS4837 CNCGROUP China169 Backbone	Beijing	China	CN	China Unicom Liaoning (CN)	39.9289	116.3883	China Unicom Liaoning	153.101.64.162	11	Beijing	success	Asia/Shanghai	
