	country	isp	upload
3	Mexico	Axtel (MX)	127.99
4	Mexico	Mega Cable (MX)	8.99
5	Mexico	Telmex (MX)	5.51
6	Brazil	Vivo (BR)	56.2
7	Brazil	NET Virtua (BR)	6.11
8	Peru	Telefonica del Peru (PE)	2.9
9	Canada	Rogers Cable (CA)	20.92
10	Canada	Shaw Communications (CA)	6.61
11	Canada	Videotron Ltee (CA)	14.65
12	Canada	TELUS Communications (CA)	18.32
13	Canada	Bell Canada (CA)	30.58
14	Canada	TekSavvy Solutions (CA)	10.32
15	United States	Cox Communications (US)	22.61
16	United States	Spectrum (US)	21.19
17	United States	Verizon Fios (US)	93.64
18	United States	AT&T U-verse (US)	7.49
19	United States	CenturyLink (US)	12.03
20	United States	ColoCrossing (US)	9.9
21	United States	DataWagon LLC (US)	4.2
22	United States	Cogeco Peer 1 (US)	11.11
23	Hong Kong	Netvigator (HK)	460.63
24	Singapore	Viewqwest Pte (SG)	593.43
25	Singapore	MyRepublic (SG)	474.77
26	Singapore	StarHub Cable Vision (SG)	491.76
27	Singapore	Singtel Fibre Broadband (SG)	485.89
28	Finland	DNA Oyj (FI)	34.17
29	Finland	Elisa Oyj (FI)	20.44
30	Norway	Get AS (NO)	29.54
31	Norway	Telenor Norge AS (NO)	40.72
32	Sweden	Telecom3 Sverige AB (SE)	19.84
33	Sweden	Com Hem AB (SE)	52.54
34	Sweden	Bredbandsbolaget AB (SE)	104.14
35	Sweden	Telenor AB (SE)	103.28
36	Sweden	Bredband2 AB (SE)	107.53
37	Sweden	Bahnhof Internet AB (SE)	107.2
38	Sweden	AllTele Broadband (SE)	98.47
39	Sweden	Telia Company (SE)	98.28
40	Germany	Unitymedia (DE)	10.09
41	Germany	Vodafone Kabel Deutschland (DE)	11.93
42	Germany	Deutsche Telekom AG (DE)	18.71
43	Germany	O2 Deutschland (DE)	9.56
44	Turkey	Turkcell Superonline (TR)	8.4
45	Turkey	Vodafone NET Iletisim Hizmetleri A.S. (TR)	4.69
46	Turkey	Turk Telekom (TR)	2.03
47	United Kingdom	Virgin Media (GB	12.31
48	United Kingdom	BT (GB)	18.61
49	United Kingdom	PlusNet Technologies Ltd (GB)	18.41
50	United Kingdom	TalkTalk (GB)	14.71
51	United Kingdom	Sky Broadband (GB)	9.61
52	Japan	Fujitsu Limited (JP)	4.9
53	Colombia	Movistar Colombia (CO)	2.3
54	Republic of Korea	Korea Telecom (KR)	8.4
55	Russia	DMZHOST LIMITED (RU)	2.2
56	Vietnam	VDC (VN)	5.4
